sqlitebrowser 3.12.2-3
steam 1.0.0.78-2
stress 1.0.6-1
sudo 1.9.15.p5-1
syllazh 0.1-2
tcping-go-bin 2.5.0-1
tealdeer 1.6.1-1
telegram-desktop-lily 4.15.2-2
terminus-font 4.49.1-6
texinfo 7.1-2
thunar 4.18.10-1
thunar-archive-plugin 0.5.2-1
thunar-media-tags-plugin 0.4.0-2
thunar-volman 4.18.0-1
tlp-rdw 1.6.1-1
tmux 3.4-4
tokei 12.1.2-1
traceroute 2.1.5-1
tree 2.1.1-1
ttf-hymmnos-ar 1.0.1-1
ttf-lxgw-wenkai 1.320-1
ttf-lxgw-wenkai-mono 1.320-1
unarchiver 1.10.8-1
unzip-natspec 6.0-7
uwufetch 2.1-1
v2raya 2.2.5.1-1
ventoy-bin 1.0.97-1
virtualbox 7.0.14-2
virtualbox-guest-iso 7.0.14-1
virtualbox-host-modules-arch 7.0.14-15
visual-studio-code-bin 1.87.2-1
vlc 3.0.20-8
vulkan-radeon 1:24.0.3-2
w3m 0.5.3.git20230713_1-1
webp-pixbuf-loader 0.2.7-1
wget 1.24.5-1
which 2.21-6
whois 5.5.21-1
wireguard-tools 1.0.20210914-2
wpa_supplicant 2:2.10-8
wqy-zenhei 0.9.45-9
wrangler 3.37.0-1
xclip 0.13-4
xdg-desktop-portal 1.18.2-1
xdg-desktop-portal-gtk 1.15.1-1
xdg-user-dirs 0.18-1
xdotool 3.20211022.1-1
xfce4-appfinder 4.18.1-1
xfce4-battery-plugin 1.1.5-1
xfce4-clipman-plugin 1.6.6-1
xfce4-cpufreq-plugin 1.2.8-1
xfce4-cpugraph-plugin 1.2.10-1
xfce4-datetime-plugin 0.8.3-1
xfce4-genmon-plugin 4.2.0-1
xfce4-mount-plugin 1.1.6-1
xfce4-mpc-plugin 0.5.3-1
xfce4-netload-plugin 1.4.1-1
xfce4-notifyd 0.9.4-1
xfce4-panel 4.18.6-1
xfce4-power-manager 4.18.3-1
xfce4-pulseaudio-plugin 0.4.8-1
xfce4-screensaver 4.18.3-1
xfce4-screenshooter 1.10.5-1
xfce4-sensors-plugin 1.4.4-1
xfce4-session 4.18.3-1
xfce4-settings 4.18.4-1
xfce4-systemload-plugin 1.3.2-1
xfce4-terminal 1.1.3-1
xfce4-timer-plugin 1.7.2-1
xfce4-whiskermenu-plugin 2.8.3-1
xfce4-xkb-plugin 0.8.3-1
xfconf 4.18.3-1
xfdesktop 4.18.1-1
xfwm4 4.18.0-2
xfwm4-theme-border-only 0.1.0-1
xiccd 0.3.0-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-2
xorg-font-util 1.4.1-1
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.11-2
xorg-server-common 21.1.11-2
xorg-server-devel 21.1.11-2
xorg-server-xephyr 21.1.11-2
xorg-server-xnest 21.1.11-2
xorg-server-xvfb 21.1.11-2
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.4-1
xorg-smproxy 1.0.7-1
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.3-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.6-1
xorg-xeyes 1.3.0-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.5-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.2.0-1
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwd 1.0.9-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xstop 0.1.1-1
xsuspender-git 1.3.r10.g4cce090-1
xtrlock 2.15-1
yay 12.3.4-1
yazi 0.2.4-1
yozo-office 8.0.1331.101ZH.S1-6
yt-dlp 2024.03.10-1
zenity 4.0.1-1
zerotier-one 1.12.2-1
zorin-desktop-themes 4.2.1-1
zram-generator 1.1.2-1
zsh 5.9-5
zsh-syntax-highlighting 0.8.0-1
